key,value
meta:symbol,XAUUSD
meta:news_filter,false
meta:news_required,false
meta:news_available,false
meta:require_h1_alignment,false
sweep_at:2022.07.27 15:45,1
sweep_at:2022.07.29 17:15,1
sweep_at:2022.08.03 16:15,1
sweep_at:2022.08.05 17:00,1
sweep_at:2022.08.10 15:45,1
sweep_at:2022.08.11 15:45,1
sweep_at:2022.08.12 16:15,1
sweep_at:2022.08.16 15:45,1
sweep_at:2022.08.16 17:30,1
sweep_at:2022.08.17 15:30,1
sweep_at:2022.08.23 17:30,1
sweep_at:2022.08.29 17:45,1
sweep_at:2022.09.02 15:45,1
sweep_at:2022.09.06 16:30,1
sweep_at:2022.09.07 16:00,1
sweep_at:2022.09.08 16:30,1
sweep_at:2022.09.14 16:30,1
sweep_at:2022.10.05 15:30,1
sweep_at:2022.10.05 17:15,1
sweep_at:2022.10.13 15:30,1
sweep_at:2022.10.20 15:30,1
sweep_at:2022.10.20 15:45,1
sweep_at:2022.10.21 16:15,1
sweep_at:2022.10.24 15:30,1
sweep_at:2022.10.24 17:30,1
sweep_at:2022.10.27 15:30,1
sweep_at:2022.10.27 17:15,1
sweep_at:2022.11.01 16:15,1
sweep_at:2022.11.02 15:30,1
sweep_at:2022.11.08 15:45,1
sweep_at:2022.11.22 15:30,1
sweep_at:2022.11.25 16:00,1
sweep_at:2022.11.25 16:45,1
sweep_at:2022.11.28 17:00,1
sweep_at:2022.11.29 16:00,1
sweep_at:2022.12.02 16:00,1
sweep_at:2022.12.06 16:30,1
sweep_at:2022.12.07 16:15,1
sweep_at:2022.12.07 17:45,1
sweep_at:2022.12.12 17:15,1
sweep_at:2022.12.16 16:00,1
sweep_at:2022.12.16 16:15,1
sweep_at:2022.12.23 15:30,1
sweep_at:2022.12.27 15:30,1
sweep_at:2022.12.27 16:15,1
sweep_at:2022.12.29 16:15,1
sweep_at:2022.12.29 17:00,1
sweep_at:2022.12.30 15:30,1
sweep_at:2023.01.05 15:30,1
sweep_at:2023.01.11 17:15,1
sweep_at:2023.01.12 15:45,1
sweep_at:2023.01.16 15:45,1
sweep_at:2023.01.17 17:00,1
sweep_at:2023.01.17 18:00,1
sweep_at:2023.01.18 15:30,1
sweep_at:2023.01.18 16:30,1
sweep_at:2023.01.18 18:00,1
sweep_at:2023.01.19 18:00,1
sweep_at:2023.01.20 16:45,1
sweep_at:2023.01.23 16:00,1
sweep_at:2023.01.23 17:30,1
sweep_at:2023.01.23 17:45,1
sweep_at:2023.01.24 16:00,1
sweep_at:2023.01.25 15:30,1
sweep_at:2023.01.26 16:15,1
sweep_at:2023.01.26 17:00,1
sweep_at:2023.02.01 15:30,1
sweep_at:2023.02.01 17:00,1
sweep_at:2023.02.02 16:15,1
sweep_at:2023.02.02 17:30,1
sweep_at:2023.02.03 16:00,1
sweep_at:2023.02.06 18:00,1
sweep_at:2023.02.07 15:45,1
sweep_at:2023.02.08 17:00,1
sweep_at:2023.02.10 16:15,1
sweep_at:2023.02.14 16:00,1
sweep_at:2023.02.14 17:30,1
sweep_at:2023.02.17 17:30,1
sweep_at:2023.02.20 15:45,1
sweep_at:2023.02.21 15:30,1
sweep_at:2023.02.21 16:15,1
sweep_at:2023.02.22 17:30,1
sweep_at:2023.02.23 16:00,1
sweep_at:2023.02.24 17:00,1
sweep_at:2023.03.02 15:30,1
sweep_at:2023.03.06 16:00,1
sweep_at:2023.03.07 15:45,1
sweep_at:2023.03.08 15:30,1
sweep_at:2023.03.14 16:00,1
sweep_at:2023.03.17 15:30,1
sweep_at:2023.03.20 17:15,1
sweep_at:2023.03.23 15:45,1
sweep_at:2023.03.23 16:45,1
sweep_at:2023.04.06 16:30,1
sweep_at:2023.04.10 16:15,1
sweep_at:2023.04.12 17:00,1
sweep_at:2023.04.14 15:30,1
sweep_at:2023.04.18 15:45,1
sweep_at:2023.04.20 17:30,1
sweep_at:2023.04.24 16:15,1
sweep_at:2023.04.25 16:15,1
sweep_at:2023.04.26 16:45,1
sweep_at:2023.05.01 16:15,1
sweep_at:2023.05.01 17:15,1
sweep_at:2023.05.02 16:00,1
sweep_at:2023.05.03 16:00,1
sweep_at:2023.05.08 16:15,1
sweep_at:2023.05.09 15:45,1
sweep_at:2023.05.10 15:30,1
sweep_at:2023.05.10 17:00,1
sweep_at:2023.05.11 17:45,1
sweep_at:2023.05.12 17:00,1
sweep_at:2023.05.15 17:15,1
sweep_at:2023.05.19 16:00,1
sweep_at:2023.05.23 17:30,1
sweep_at:2023.05.24 16:00,1
sweep_at:2023.05.26 15:45,1
sweep_at:2023.05.29 16:15,1
sweep_at:2023.05.30 15:30,1
reset:entry_timeout,2
sweep_at:2023.06.01 16:15,1
sweep_at:2023.06.06 15:30,1
sweep_at:2023.06.07 17:15,1
sweep_at:2023.06.08 17:45,1
sweep_at:2023.06.09 15:30,1
sweep_at:2023.06.09 15:45,1
sweep_at:2023.06.12 16:15,1
sweep_at:2023.06.13 16:15,1
sweep_at:2023.06.14 16:00,1
sweep_at:2023.06.15 17:45,1
sweep_at:2023.06.16 17:45,1
sweep_at:2023.06.20 15:30,1
sweep_at:2023.06.23 17:00,1
sweep_at:2023.06.26 16:30,1
sweep_at:2023.06.27 15:45,1
sweep_at:2023.06.27 16:45,1
sweep_at:2023.06.30 16:45,1
sweep_at:2023.07.05 17:00,1
sweep_at:2023.07.05 18:00,1
sweep_at:2023.07.07 15:45,1
sweep_at:2023.07.13 16:00,1
sweep_at:2023.07.14 16:15,1
sweep_at:2023.07.14 17:30,1
sweep_at:2023.07.19 17:30,1
sweep_at:2023.07.19 18:00,1
sweep_at:2023.07.20 16:15,1
sweep_at:2023.07.20 18:00,1
sweep_at:2023.07.24 16:15,1
sweep_at:2023.08.04 17:00,1
sweep_at:2023.08.10 15:45,1
sweep_at:2023.08.10 17:15,1
sweep_at:2023.08.11 15:45,1
sweep_at:2023.08.15 17:45,1
sweep_at:2023.08.17 17:00,1
sweep_at:2023.08.18 17:00,1
sweep_at:2023.08.21 15:30,1
sweep_at:2023.08.21 18:00,1
sweep_at:2023.08.22 17:15,1
sweep_at:2023.08.24 17:15,1
sweep_at:2023.08.25 17:15,1
sweep_at:2023.08.31 17:00,1
sweep_at:2023.08.31 18:00,1
sweep_at:2023.09.01 17:15,1
sweep_at:2023.09.04 16:15,1
sweep_at:2023.09.07 15:45,1
sweep_at:2023.09.13 18:00,1
sweep_at:2023.09.18 17:15,1
sweep_at:2023.09.28 15:45,1
sweep_at:2023.09.29 16:30,1
sweep_at:2023.10.03 15:30,1
sweep_at:2023.10.03 15:45,1
sweep_at:2023.10.03 18:00,1
sweep_at:2023.10.04 15:30,1
sweep_at:2023.10.06 16:45,1
sweep_at:2023.10.06 17:45,1
sweep_at:2023.10.09 16:00,1
sweep_at:2023.10.10 15:45,1
sweep_at:2023.10.12 17:15,1
sweep_at:2023.10.23 17:00,1
sweep_at:2023.10.25 17:15,1
sweep_at:2023.10.26 17:45,1
sweep_at:2023.10.27 15:30,1
sweep_at:2023.10.30 16:45,1
sweep_at:2023.11.02 16:00,1
sweep_at:2023.11.06 17:45,1
sweep_at:2023.11.09 18:00,1
sweep_at:2023.11.15 17:30,1
sweep_at:2023.11.17 17:30,1
sweep_at:2023.11.20 15:30,1
sweep_at:2023.11.28 15:30,1
sweep_at:2023.11.29 15:30,1
sweep_at:2023.12.01 18:00,1
sweep_at:2023.12.06 17:00,1
sweep_at:2023.12.08 15:45,1
sweep_at:2023.12.12 15:45,1
sweep_at:2023.12.13 15:45,1
sweep_at:2023.12.13 17:00,1
sweep_at:2023.12.14 15:45,1
sweep_at:2023.12.15 16:00,1
sweep_at:2023.12.20 15:45,1
sweep_at:2023.12.20 16:15,1
sweep_at:2023.12.28 17:30,1
sweep_at:2023.12.29 15:30,1
sweep_at:2024.01.02 16:00,1
sweep_at:2024.01.10 15:30,1
sweep_at:2024.01.17 16:15,1
sweep_at:2024.01.18 17:15,1
sweep_at:2024.01.19 15:45,1
sweep_at:2024.01.26 15:45,1
sweep_at:2024.02.01 15:45,1
sweep_at:2024.02.02 16:15,1
sweep_at:2024.02.06 15:30,1
sweep_at:2024.02.06 16:15,1
sweep_at:2024.02.06 17:00,1
sweep_at:2024.02.09 15:45,1
sweep_at:2024.02.12 15:30,1
sweep_at:2024.02.13 15:45,1
sweep_at:2024.02.16 18:00,1
sweep_at:2024.02.23 15:30,1
sweep_at:2024.03.11 15:30,1
sweep_at:2024.03.13 16:00,1
sweep_at:2024.03.25 16:00,1
sweep_at:2024.03.25 16:30,1
sweep_at:2024.04.01 17:00,1
sweep_at:2024.04.03 15:45,1
sweep_at:2024.04.04 15:30,1
sweep_at:2024.04.10 16:45,1
sweep_at:2024.04.10 17:45,1
sweep_at:2024.04.15 17:00,1
sweep_at:2024.04.15 17:45,1
sweep_at:2024.04.19 16:30,1
sweep_at:2024.04.25 16:00,1
sweep_at:2024.04.25 18:00,1
sweep_at:2024.04.26 16:30,1
sweep_at:2024.04.29 17:15,1
sweep_at:2024.05.01 15:30,1
sweep_at:2024.05.03 15:45,1
sweep_at:2024.05.07 16:15,1
sweep_at:2024.05.13 15:45,1
sweep_at:2024.05.15 17:15,1
sweep_at:2024.05.16 16:15,1
sweep_at:2024.05.20 16:15,1
sweep_at:2024.05.24 16:45,1
sweep_at:2024.05.24 17:15,1
sweep_at:2024.05.29 15:30,1
sweep_at:2024.05.30 15:30,1
sweep_at:2024.05.30 17:45,1
sweep_at:2024.05.31 17:30,1
sweep_at:2024.06.04 15:30,1
sweep_at:2024.06.07 15:30,1
sweep_at:2024.06.13 15:45,1
sweep_at:2024.06.17 16:15,1
sweep_at:2024.06.18 15:45,1
sweep_at:2024.06.19 15:45,1
sweep_at:2024.06.24 16:45,1
sweep_at:2024.06.27 16:45,1
sweep_at:2024.06.27 17:30,1
sweep_at:2024.06.28 16:15,1
sweep_at:2024.06.28 17:30,1
sweep_at:2024.07.01 15:45,1
sweep_at:2024.07.01 16:15,1
sweep_at:2024.07.02 17:15,1
sweep_at:2024.07.03 17:00,1
veto:m15:data_quality,12
sweep_at:2024.07.08 16:15,1
sweep_at:2024.07.08 17:15,1
sweep_at:2024.07.12 16:00,1
sweep_at:2024.07.23 17:15,1
sweep_at:2024.07.29 17:15,1
sweep_at:2024.07.30 16:45,1
sweep_at:2024.07.30 17:15,1
sweep_at:2024.07.31 17:30,1
sweep_at:2024.08.01 16:00,1
sweep_at:2024.08.01 17:15,1
sweep_at:2024.08.07 15:30,1
sweep_at:2024.08.08 16:15,1
sweep_at:2024.08.08 18:00,1
sweep_at:2024.08.09 16:45,1
sweep_at:2024.08.13 17:00,1
sweep_at:2024.08.14 15:30,1
sweep_at:2024.08.15 15:45,1
sweep_at:2024.08.19 16:45,1
sweep_at:2024.08.19 17:15,1
sweep_at:2024.08.21 16:00,1
sweep_at:2024.08.21 17:00,1
sweep_at:2024.08.21 17:15,1
sweep_at:2024.08.27 16:30,1
sweep_at:2024.08.27 17:15,1
sweep_at:2024.08.28 15:45,1
sweep_at:2024.08.29 15:45,1
sweep_at:2024.08.30 15:45,1
sweep_at:2024.09.04 17:15,1
sweep_at:2024.09.06 15:30,1
sweep_at:2024.09.06 17:15,1
sweep_at:2024.09.11 16:00,1
sweep_at:2024.09.16 18:00,1
sweep_at:2024.09.17 16:00,1
sweep_at:2024.09.18 15:30,1
sweep_at:2024.09.24 15:30,1
sweep_at:2024.09.27 17:30,1
sweep_at:2024.10.02 17:15,1
sweep_at:2024.10.04 16:15,1
sweep_at:2024.10.07 16:15,1
sweep_at:2024.10.08 16:45,1
sweep_at:2024.10.09 18:00,1
sweep_at:2024.10.10 15:45,1
sweep_at:2024.10.23 16:30,1
sweep_at:2024.10.25 17:30,1
sweep_at:2024.10.30 16:00,1
sweep_at:2024.11.01 15:30,1
sweep_at:2024.11.04 16:15,1
sweep_at:2024.11.04 17:30,1
sweep_at:2024.11.05 16:00,1
sweep_at:2024.11.05 16:45,1
sweep_at:2024.11.07 16:15,1
sweep_at:2024.11.13 15:45,1
sweep_at:2024.11.15 15:30,1
sweep_at:2024.11.25 15:30,1
sweep_at:2024.11.25 17:00,1
