key,value
meta:symbol,XAUUSD
meta:news_filter,false
meta:news_required,false
meta:news_available,false
meta:require_h1_alignment,true
sweep_at:2022.12.19 12:00,1
sweep_at:2022.12.19 14:30,1
sweep_at:2022.12.23 10:00,1
sweep_at:2022.12.23 12:15,1
sweep_at:2022.12.27 01:45,1
sweep_at:2022.12.27 16:15,1
sweep_at:2022.12.28 04:15,1
sweep_at:2022.12.29 07:15,1
sweep_at:2023.01.06 04:15,1
sweep_at:2023.01.12 15:45,1
sweep_at:2023.01.20 07:15,1
sweep_at:2023.01.20 16:45,1
sweep_at:2023.01.23 07:30,1
sweep_at:2023.01.24 16:00,1
sweep_at:2023.01.25 07:15,1
sweep_at:2023.01.25 12:30,1
sweep_at:2023.01.30 07:00,1
sweep_at:2023.02.07 14:15,1
sweep_at:2023.02.07 15:45,1
sweep_at:2023.02.08 17:00,1
sweep_at:2023.02.14 07:00,1
sweep_at:2023.02.14 09:30,1
sweep_at:2023.02.17 17:30,1
sweep_at:2023.02.20 06:15,1
sweep_at:2023.02.20 10:45,1
sweep_at:2023.02.20 15:45,1
sweep_at:2023.02.22 17:30,1
sweep_at:2023.02.22 19:30,1
sweep_at:2023.02.24 10:30,1
sweep_at:2023.03.06 12:00,1
sweep_at:2023.03.09 01:30,1
sweep_at:2023.03.14 07:00,1
sweep_at:2023.03.14 11:00,1
sweep_at:2023.03.20 17:15,1
sweep_at:2023.03.23 15:45,1
sweep_at:2023.03.24 18:15,1
sweep_at:2023.03.27 05:30,1
sweep_at:2023.03.28 08:15,1
sweep_at:2023.03.28 11:45,1
sweep_at:2023.03.29 09:45,1
sweep_at:2023.04.04 09:45,1
sweep_at:2023.04.12 17:00,1
sweep_at:2023.04.19 06:45,1
sweep_at:2023.04.24 13:00,1
sweep_at:2023.04.24 19:45,1
sweep_at:2023.04.25 10:45,1
sweep_at:2023.04.26 03:00,1
sweep_at:2023.04.26 17:15,1
sweep_at:2023.04.27 10:00,1
sweep_at:2023.04.28 18:15,1
sweep_at:2023.05.03 16:00,1
sweep_at:2023.05.10 08:00,1
sweep_at:2023.05.10 12:00,1
sweep_at:2023.05.11 17:45,1
sweep_at:2023.05.26 15:00,1
sweep_at:2023.06.08 08:45,1
sweep_at:2023.06.08 12:15,1
sweep_at:2023.06.09 14:45,1
sweep_at:2023.06.13 07:15,1
sweep_at:2023.06.13 16:45,1
sweep_at:2023.06.14 22:00,1
sweep_at:2023.06.16 17:45,1
sweep_at:2023.07.05 10:30,1
sweep_at:2023.07.05 18:00,1
sweep_at:2023.07.06 05:00,1
sweep_at:2023.07.13 08:15,1
sweep_at:2023.07.18 04:45,1
sweep_at:2023.07.19 07:30,1
sweep_at:2023.07.19 14:45,1
sweep_at:2023.07.24 12:45,1
sweep_at:2023.07.25 18:15,1
sweep_at:2023.08.01 08:00,1
sweep_at:2023.08.01 14:30,1
sweep_at:2023.08.02 14:15,1
sweep_at:2023.08.15 17:45,1
sweep_at:2023.08.16 12:45,1
sweep_at:2023.08.17 13:30,1
sweep_at:2023.08.18 13:45,1
sweep_at:2023.08.18 17:00,1
sweep_at:2023.08.21 15:15,1
sweep_at:2023.08.24 17:15,1
veto:order:no_target,5
sweep_at:2023.08.25 17:15,1
sweep_at:2023.08.28 09:30,1
sweep_at:2023.08.30 10:45,1
sweep_at:2023.09.01 17:15,1
sweep_at:2023.09.04 14:30,1
sweep_at:2023.09.06 08:15,1
sweep_at:2023.09.20 05:00,1
sweep_at:2023.09.21 01:00,1
sweep_at:2023.10.03 14:15,1
sweep_at:2023.10.03 15:30,1
sweep_at:2023.10.03 15:45,1
sweep_at:2023.10.03 18:00,1
sweep_at:2023.10.04 15:00,1
sweep_at:2023.10.05 07:00,1
sweep_at:2023.10.05 09:00,1
sweep_at:2023.10.10 08:15,1
sweep_at:2023.10.10 14:30,1
sweep_at:2023.10.12 17:15,1
sweep_at:2023.10.12 21:15,1
sweep_at:2023.10.16 09:15,1
sweep_at:2023.10.26 17:45,1
sweep_at:2023.11.02 19:30,1
sweep_at:2023.11.06 01:45,1
sweep_at:2023.11.21 01:15,1
sweep_at:2023.11.28 15:30,1
sweep_at:2023.11.30 07:45,1
sweep_at:2023.12.01 18:00,1
sweep_at:2023.12.06 07:45,1
sweep_at:2023.12.06 08:30,1
sweep_at:2023.12.07 09:15,1
sweep_at:2023.12.08 11:30,1
sweep_at:2023.12.13 12:30,1
sweep_at:2023.12.14 09:45,1
sweep_at:2023.12.14 15:45,1
sweep_at:2023.12.27 12:45,1
sweep_at:2023.12.28 10:45,1
sweep_at:2023.12.28 17:30,1
sweep_at:2023.12.29 12:15,1
sweep_at:2023.12.29 13:00,1
sweep_at:2023.12.29 13:45,1
sweep_at:2024.01.04 10:00,1
sweep_at:2024.01.04 12:00,1
sweep_at:2024.01.16 07:00,1
sweep_at:2024.01.16 08:15,1
sweep_at:2024.01.25 09:45,1
sweep_at:2024.02.08 08:00,1
sweep_at:2024.02.09 15:45,1
sweep_at:2024.02.13 08:00,1
sweep_at:2024.02.13 15:45,1
sweep_at:2024.02.19 18:15,1
sweep_at:2024.02.27 20:00,1
sweep_at:2024.03.19 06:30,1
sweep_at:2024.04.01 17:00,1
sweep_at:2024.04.17 07:45,1
sweep_at:2024.04.24 07:15,1
sweep_at:2024.04.24 18:15,1
sweep_at:2024.04.25 22:45,1
sweep_at:2024.05.01 14:15,1
sweep_at:2024.05.01 16:00,1
sweep_at:2024.05.13 05:00,1
sweep_at:2024.05.15 17:15,1
sweep_at:2024.05.20 16:15,1
sweep_at:2024.05.21 10:15,1
sweep_at:2024.05.31 17:30,1
sweep_at:2024.06.03 07:15,1
sweep_at:2024.06.05 05:15,1
sweep_at:2024.06.13 08:00,1
sweep_at:2024.06.13 10:45,1
sweep_at:2024.06.13 15:45,1
sweep_at:2024.06.17 04:15,1
sweep_at:2024.06.17 07:00,1
sweep_at:2024.06.19 15:45,1
sweep_at:2024.06.25 01:45,1
sweep_at:2024.06.28 04:00,1
sweep_at:2024.06.28 11:00,1
sweep_at:2024.07.01 09:45,1
sweep_at:2024.07.01 12:30,1
sweep_at:2024.07.05 05:45,1
sweep_at:2024.07.08 07:00,1
sweep_at:2024.07.08 15:00,1
sweep_at:2024.07.08 17:15,1
sweep_at:2024.07.15 09:30,1
sweep_at:2024.07.23 17:15,1
sweep_at:2024.07.24 21:00,1
sweep_at:2024.08.02 03:45,1
sweep_at:2024.08.06 11:30,1
sweep_at:2024.08.07 08:00,1
sweep_at:2024.08.07 14:45,1
sweep_at:2024.08.19 13:30,1
sweep_at:2024.08.22 06:00,1
sweep_at:2024.08.22 07:45,1
sweep_at:2024.08.27 08:45,1
sweep_at:2024.08.28 08:00,1
sweep_at:2024.08.28 09:15,1
sweep_at:2024.08.28 14:00,1
sweep_at:2024.09.03 10:15,1
sweep_at:2024.09.03 13:00,1
sweep_at:2024.09.04 17:15,1
sweep_at:2024.09.06 15:45,1
sweep_at:2024.09.10 08:15,1
sweep_at:2024.09.10 11:45,1
sweep_at:2024.09.16 14:00,1
sweep_at:2024.09.17 08:30,1
sweep_at:2024.09.19 09:30,1
sweep_at:2024.09.19 11:15,1
sweep_at:2024.09.20 07:00,1
sweep_at:2024.09.25 09:00,1
sweep_at:2024.10.07 16:15,1
sweep_at:2024.10.08 04:15,1
sweep_at:2024.10.08 16:45,1
sweep_at:2024.10.10 15:45,1
sweep_at:2024.10.14 04:30,1
sweep_at:2024.10.14 18:15,1
sweep_at:2024.10.23 16:30,1
sweep_at:2024.10.28 03:30,1
sweep_at:2024.10.30 14:30,1
sweep_at:2024.10.31 09:15,1
sweep_at:2024.10.31 10:45,1
sweep_at:2024.11.04 07:30,1
sweep_at:2024.11.04 16:30,1
sweep_at:2024.11.05 07:45,1
sweep_at:2024.11.07 12:30,1
sweep_at:2024.11.07 12:45,1
sweep_at:2024.11.07 14:30,1
sweep_at:2024.11.14 18:45,1
sweep_at:2024.11.15 14:00,1
sweep_at:2024.11.20 08:30,1
sweep_at:2024.11.20 10:15,1
sweep_at:2024.12.02 16:45,1
sweep_at:2024.12.11 07:45,1
sweep_at:2024.12.24 01:15,1
sweep_at:2024.12.27 14:15,1
sweep_at:2025.01.03 08:00,1
sweep_at:2025.01.03 10:45,1
sweep_at:2025.01.08 07:00,1
sweep_at:2025.01.10 15:45,1
sweep_at:2025.01.14 07:15,1
sweep_at:2025.01.17 08:15,1
sweep_at:2025.01.29 10:45,1
sweep_at:2025.02.03 10:45,1
sweep_at:2025.02.04 08:45,1
sweep_at:2025.02.11 11:15,1
sweep_at:2025.02.19 18:15,1
sweep_at:2025.02.19 20:45,1
sweep_at:2025.03.12 09:30,1
sweep_at:2025.03.13 08:15,1
sweep_at:2025.03.14 09:30,1
sweep_at:2025.03.20 09:30,1
sweep_at:2025.03.20 10:15,1
sweep_at:2025.03.25 20:30,1
sweep_at:2025.04.03 13:15,1
sweep_at:2025.04.04 14:45,1
sweep_at:2025.04.09 07:30,1
sweep_at:2025.04.14 01:15,1
sweep_at:2025.04.14 01:45,1
sweep_at:2025.04.14 11:30,1
sweep_at:2025.04.15 04:15,1
sweep_at:2025.04.29 07:00,1
sweep_at:2025.04.29 15:30,1
sweep_at:2025.04.30 07:15,1
sweep_at:2025.05.02 23:30,1
sweep_at:2025.05.05 04:45,1
sweep_at:2025.05.05 10:00,1
sweep_at:2025.05.15 16:30,1
sweep_at:2025.05.22 12:15,1
sweep_at:2025.05.22 13:45,1
sweep_at:2025.05.26 04:00,1
sweep_at:2025.05.26 11:00,1
sweep_at:2025.05.26 13:15,1
sweep_at:2025.05.28 09:00,1
sweep_at:2025.05.29 07:00,1
sweep_at:2025.06.03 07:45,1
