key,value
meta:symbol,XAUUSD
meta:news_filter,false
meta:news_required,false
meta:news_available,false
sweep_at:2024.09.06 15:45,1
sweep_at:2024.09.17 16:00,1
sweep_at:2024.10.07 16:15,1
sweep_at:2024.10.08 16:45,1
sweep_at:2024.10.10 15:45,1
sweep_at:2024.10.23 16:30,1
sweep_at:2024.10.24 16:00,1
sweep_at:2024.10.24 16:45,1
sweep_at:2024.10.30 14:30,1
sweep_at:2024.10.31 15:00,1
sweep_at:2024.11.04 16:15,1
sweep_at:2024.11.07 16:15,1
order_rejected:10016,1
sweep_at:2024.11.15 15:30,1
sweep_at:2024.12.02 16:45,1
sweep_at:2025.01.06 17:00,1
sweep_at:2025.01.10 15:45,1
sweep_at:2025.02.07 15:45,1
sweep_at:2025.02.13 16:00,1
sweep_at:2025.02.20 16:45,1
sweep_at:2025.03.12 15:45,1
sweep_at:2025.04.29 15:30,1
sweep_at:2025.05.15 16:30,1
sweep_at:2025.05.26 15:45,1
sweep_at:2025.05.26 16:30,1
sweep_at:2025.05.28 16:15,1
sweep_at:2025.06.03 15:30,1
sweep_at:2025.06.10 16:00,1
sweep_at:2025.06.23 17:00,1
sweep_at:2025.06.25 15:45,1
sweep_at:2025.07.10 17:00,1
sweep_at:2025.08.05 16:45,1
sweep_at:2025.08.06 17:00,1
sweep_at:2025.08.18 17:15,1
sweep_at:2025.08.19 16:30,1
sweep_at:2025.08.22 17:15,1
sweep_at:2025.09.25 17:00,1
sweep_at:2025.10.30 14:30,1
sweep_at:2025.11.03 17:30,1
sweep_at:2025.11.11 17:30,1
sweep_at:2025.11.18 16:00,1
sweep_at:2025.11.25 16:30,1
sweep_at:2025.12.23 16:15,1
sweep_at:2025.12.30 15:45,1
veto:risk:spread,3
sweep_at:2026.01.16 17:30,1
sweep_at:2026.01.23 16:00,1
sweep_at:2026.02.13 15:45,1
sweep_at:2026.03.11 15:15,1
sweep_at:2026.03.11 16:00,1
sweep_at:2026.03.16 16:15,1
sweep_at:2026.03.20 15:15,1
sweep_at:2026.03.23 15:15,1
sweep_at:2026.03.23 16:30,1
sweep_at:2026.03.25 14:45,1
sweep_at:2026.04.08 15:45,1
sweep_at:2026.04.16 17:15,1
sweep_at:2026.04.27 17:15,1
sweep_at:2026.05.04 17:00,1
sweep_at:2026.05.05 16:30,1
sweep_at:2026.06.05 15:30,1
sweep_at:2026.07.06 16:45,1
sweep_at:2026.07.29 15:45,1
sweep_at:2026.08.03 16:00,1
